Number,Category,SubCategory,TaskType,Title,Prompt,Documents,Rubric
1,Droit Privé,Corporate / Sociétés,Conseil stratégique,Transformation SARL en SAS,"Vous êtes avocat au sein d'un cabinet spécialisé en droit des sociétés. Votre client, M. Dupont, est gérant et associé majoritaire (60%) d'une SARL au capital de 150 000 euros, spécialisée dans le conseil en ingénierie. La SARL compte 3 associés et 25 salariés. M. Dupont souhaite transformer la SARL en SAS afin d'accueillir un fonds d'investissement au capital et de bénéficier d'une plus grande souplesse statutaire. L'un des associés minoritaires (15%) s'oppose à cette transformation. Les derniers comptes annuels font apparaître des capitaux propres supérieurs au capital social. Un commissaire aux comptes est en fonction.

Rédigez une note d'analyse complète à destination de M. Dupont détaillant :
1. Les conditions légales de la transformation (articles L223-43 et suivants du Code de commerce)
2. La procédure à suivre (rapport du CAC, décision des associés, formalités)
3. Les conséquences de l'opposition de l'associé minoritaire
4. Les effets juridiques de la transformation sur la société, les associés et les salariés
5. Les risques et points de vigilance",N/A,"[Structure]
S1 (1pt) : La réponse est structurée sous forme de note professionnelle avec introduction, parties numérotées et conclusion
S2 (1pt) : Les différentes étapes de la procédure sont présentées dans un ordre chronologique logique

[Style]
ST1 (1pt) : Ton professionnel d'avocat conseil, langage juridique précis
ST2 (1pt) : Références aux articles du Code de commerce citées correctement

[Substance]
SUB1 (2pts) : Mentionne que la transformation d'une SARL en SAS requiert l'unanimité des associés (art. L227-3 C. com.)
SUB2 (2pts) : Explique que l'opposition d'un associé minoritaire bloque la transformation en raison de l'exigence d'unanimité
SUB3 (1pt) : Mentionne l'intervention obligatoire du commissaire aux comptes ou d'un commissaire à la transformation (art. L224-3 C. com.)
SUB4 (1pt) : Indique que le CAC doit attester que les capitaux propres sont au moins égaux au capital social
SUB5 (1pt) : Précise que la transformation n'entraîne pas création d'une personne morale nouvelle (continuité juridique)
SUB6 (1pt) : Mentionne le maintien automatique des contrats de travail (art. L1224-1 C. trav.)
SUB7 (1pt) : Évoque les formalités de publicité (JAL, greffe, RCS, BODACC)
SUB8 (1pt) : Suggère des alternatives en cas de blocage (rachat des parts du minoritaire, cession partielle, SAS nouvelle)

[Méthodologie]
M1 (1pt) : Distingue clairement les conditions de fond et les conditions de forme
M2 (1pt) : Propose une stratégie pour surmonter l'opposition du minoritaire

[Négatif]
N1 (-1pt) : Hallucination factuelle (ex : indiquer qu'une majorité des 2/3 suffit)
N2 (-0.5pt) : Information exacte mais hors sujet
N3 (-1pt) : Confusion entre transformation et fusion/scission"
2,Droit Privé,Corporate / Sociétés,Rédaction,Pacte d'actionnaires SAS — clause de sortie conjointe,"Vous êtes avocat spécialisé en droit des sociétés et du M&A. Votre client est une start-up SAS dans le domaine de la healthtech, avec trois fondateurs (détenant respectivement 40%, 35% et 25% du capital) et un investisseur institutionnel qui s'apprête à entrer au capital pour 20% via une augmentation de capital de 2 millions d'euros. L'investisseur exige un pacte d'actionnaires incluant notamment une clause de sortie conjointe (tag-along) et une clause d'entraînement (drag-along).

Rédigez les clauses de tag-along et de drag-along du pacte d'actionnaires en veillant à :
1. Définir précisément le mécanisme de chaque clause et les seuils de déclenchement
2. Prévoir les modalités de notification et les délais
3. Inclure les conditions de prix et les modalités de valorisation
4. Anticiper les cas de non-respect et les sanctions (clause pénale, promesse de vente)
5. Articuler ces clauses avec les éventuelles clauses d'agrément statutaires",N/A,"[Structure]
S1 (2pts) : Les clauses sont rédigées dans un format contractuel professionnel avec articles numérotés, définitions et chapeau
S2 (1pt) : Séparation claire entre la clause de tag-along et la clause de drag-along

[Style]
ST1 (1pt) : Rédaction en style contractuel formel avec vocabulaire juridique approprié
ST2 (1pt) : Formulations précises et non ambiguës, évitant les zones grises

[Substance]
SUB1 (2pts) : La clause de tag-along permet aux minoritaires de céder leurs titres aux mêmes conditions que le cédant majoritaire
SUB2 (2pts) : La clause de drag-along permet au(x) majoritaire(s) dépassant un certain seuil d'obliger les minoritaires à vendre
SUB3 (1pt) : Définition d'un seuil de déclenchement pertinent pour le drag-along (ex : détention de plus de 50% ou 66%)
SUB4 (1pt) : Prévision d'un mécanisme de notification écrite avec délai de réponse (ex : 30 jours)
SUB5 (1pt) : Clause de prix garantissant des conditions identiques (même prix par action, mêmes garanties)
SUB6 (1pt) : Mécanisme de sanction en cas de non-respect : promesse unilatérale de vente ou clause pénale
SUB7 (1pt) : Mention de l'articulation avec la clause d'agrément statutaire (primauté ou dérogation)
SUB8 (1pt) : Prise en compte de la jurisprudence sur la validité des clauses de drag-along (Cass. com.)
SUB9 (1pt) : Exclusion ou traitement des transferts intra-groupe et des transferts à des affiliés

[Méthodologie]
M1 (1pt) : Prise en compte des intérêts divergents des fondateurs et de l'investisseur

[Négatif]
N1 (-1pt) : Hallucination sur un article de loi inexistant
N2 (-0.5pt) : Clause juridiquement invalide ou potestative
N3 (-1pt) : Confusion entre tag-along et drag-along dans les mécanismes décrits"
3,Droit Privé,Contrats,Analyse de documents,Clause limitative de responsabilité B2B,"Vous êtes avocat en droit des contrats. Un client, société éditrice de logiciels SaaS (PME de 50 salariés), vous consulte au sujet d'un contrat-cadre de prestation de services informatiques qu'elle s'apprête à signer avec un grand groupe industriel du CAC 40. Le contrat contient la clause suivante :

« Article 12 — Limitation de responsabilité : En tout état de cause, la responsabilité totale du Prestataire au titre du présent Contrat, quelle qu'en soit la cause, est limitée au montant des sommes effectivement perçues par le Prestataire au cours des douze (12) derniers mois précédant le fait générateur du dommage. Le Prestataire ne saurait en aucun cas être tenu responsable des dommages indirects, pertes de données, pertes d'exploitation, pertes de chiffre d'affaires ou de bénéfices, même s'il a été informé de la possibilité de tels dommages. »

Rédigez une note analysant la validité et l'opposabilité de cette clause au regard du droit français des contrats, en tenant compte de la réforme de 2016 et de la jurisprudence récente. Indiquez si votre client doit accepter, renégocier ou refuser cette clause, avec des recommandations précises.",N/A,"[Structure]
S1 (1pt) : Note structurée avec rappel des faits, analyse juridique et recommandations pratiques
S2 (1pt) : Distinction claire entre la validité de principe et les limites d'opposabilité

[Style]
ST1 (1pt) : Langage juridique professionnel adapté à un client averti
ST2 (1pt) : Références précises aux textes et à la jurisprudence

[Substance]
SUB1 (2pts) : Rappelle le principe de validité des clauses limitatives de responsabilité en matière contractuelle entre professionnels (B2B)
SUB2 (2pts) : Mentionne la limite posée par l'article 1170 du Code civil (réforme 2016) : la clause ne peut priver de sa substance l'obligation essentielle du débiteur (codification de la jurisprudence Chronopost/Faurecia)
SUB3 (1pt) : Cite l'arrêt Chronopost (Cass. com., 22 octobre 1996) et/ou Faurecia (Cass. com., 29 juin 2010)
SUB4 (1pt) : Analyse si l'exclusion des dommages indirects est compatible avec l'obligation essentielle du prestataire SaaS (disponibilité, intégrité des données)
SUB5 (1pt) : Mentionne que la clause ne peut exonérer de la responsabilité pour faute lourde ou dol (art. 1231-3 C. civ.)
SUB6 (1pt) : Analyse le déséquilibre significatif potentiel (art. 1171 C. civ. pour les contrats d'adhésion)
SUB7 (1pt) : Évalue si le contrat est un contrat d'adhésion au sens de l'art. 1110 C. civ.
SUB8 (1pt) : Recommandations concrètes : renégocier le plafond, exclure les cas de faute lourde, prévoir des exceptions pour les données personnelles

[Méthodologie]
M1 (1pt) : Analyse des intérêts de chaque partie pour formuler des recommandations équilibrées

[Négatif]
N1 (-1pt) : Affirmer que les clauses limitatives sont toujours nulles entre professionnels
N2 (-1pt) : Hallucination d'un arrêt de jurisprudence inexistant
N3 (-0.5pt) : Omission totale de la réforme de 2016 dans l'analyse"
4,Droit Privé,Contrats,Recherche juridique,Réforme du droit des contrats — Ordonnance 2016-131,"Vous êtes collaborateur dans un cabinet d'affaires. L'associé responsable du département contrats vous demande de rédiger une note de synthèse à usage interne sur les principales innovations de l'ordonnance n° 2016-131 du 10 février 2016 portant réforme du droit des contrats, du régime général et de la preuve des obligations, telle que ratifiée et modifiée par la loi du 20 avril 2018.

Votre note doit couvrir :
1. Les apports majeurs en matière de formation du contrat (négociation, offre et acceptation, vices du consentement)
2. Les innovations relatives au contenu du contrat (clauses abusives entre professionnels, imprévision)
3. Les nouvelles dispositions sur l'inexécution (exception d'inexécution par anticipation, réduction du prix, résolution unilatérale)
4. Les règles de droit transitoire et la jurisprudence sur l'application dans le temps
5. L'impact pratique pour le cabinet et ses clients",N/A,"[Structure]
S1 (1pt) : Note de synthèse structurée avec sommaire et parties thématiques
S2 (1pt) : Présentation systématique : ancien droit → nouveau droit → impact pratique

[Style]
ST1 (1pt) : Style synthétique adapté à une note interne de cabinet
ST2 (1pt) : Citations précises des nouveaux articles du Code civil

[Substance]
SUB1 (2pts) : Mentionne l'introduction de l'obligation de bonne foi dans les négociations précontractuelles (art. 1112 C. civ.) et la responsabilité pour rupture abusive
SUB2 (2pts) : Explique l'introduction de la théorie de l'imprévision (art. 1195 C. civ.) — renégociation, puis révision ou résiliation judiciaire — et son caractère supplétif
SUB3 (1pt) : Mentionne la consécration des clauses abusives entre professionnels dans les contrats d'adhésion (art. 1171 C. civ.)
SUB4 (1pt) : Explique l'exception d'inexécution par anticipation (art. 1220 C. civ.)
SUB5 (1pt) : Mentionne la réduction unilatérale du prix en cas d'exécution imparfaite (art. 1223 C. civ.)
SUB6 (1pt) : Mentionne la résolution unilatérale par notification (art. 1226 C. civ.)
SUB7 (1pt) : Précise les règles de droit transitoire : application aux contrats conclus après le 1er octobre 2016 (art. 9 de l'ordonnance)
SUB8 (1pt) : Mentionne la codification de la violence économique (art. 1143 C. civ.)

[Méthodologie]
M1 (1pt) : Identifie les implications pratiques pour la rédaction des contrats du cabinet
M2 (1pt) : Distingue les dispositions supplétives des dispositions impératives

[Négatif]
N1 (-1pt) : Erreur sur la date d'entrée en vigueur de la réforme
N2 (-1pt) : Confusion entre l'ordonnance de 2016 et la loi de ratification de 2018
N3 (-0.5pt) : Omission d'une innovation majeure (imprévision ou clauses abusives)"
5,Droit Privé,Travail,Analyse de documents,Licenciement économique collectif — conditions de validité,"Vous êtes avocat en droit social. Une entreprise industrielle de 350 salariés, filiale d'un groupe international de 5 000 salariés, vous consulte. Elle envisage de supprimer 45 postes dans le cadre d'une réorganisation liée à la baisse durable de ses commandes (-30% sur 3 trimestres consécutifs). L'entreprise n'a pas de CSE en place (les élections professionnelles ont été reportées).

Rédigez une note d'analyse complète sur :
1. La qualification du motif économique et le périmètre d'appréciation (entreprise vs. groupe/secteur d'activité)
2. La procédure applicable (PSE obligatoire, consultation du CSE, DREETS)
3. Les obligations de reclassement
4. Les conséquences de l'absence de CSE
5. Les risques contentieux et les sanctions encourues",N/A,"[Structure]
S1 (1pt) : Note structurée avec identification du problème juridique, analyse et recommandations
S2 (1pt) : Traitement séparé des questions de fond (motif) et de procédure

[Style]
ST1 (1pt) : Vocabulaire de droit social précis, références aux articles du Code du travail

[Substance]
SUB1 (2pts) : Identifie que le motif économique doit être apprécié au niveau du secteur d'activité du groupe pour les entreprises appartenant à un groupe (art. L1233-3 C. trav. modifié par ordonnances Macron 2017)
SUB2 (2pts) : Mentionne l'obligation d'établir un PSE (Plan de Sauvegarde de l'Emploi) pour tout licenciement de 10 salariés ou plus sur 30 jours dans une entreprise de 50+ salariés (art. L1233-61 C. trav.)
SUB3 (1pt) : Précise les critères de la baisse durable des commandes/du CA : 3 trimestres consécutifs pour une entreprise de 300 à 999 salariés (art. L1233-3 C. trav.)
SUB4 (1pt) : Mentionne l'obligation de reclassement préalable (art. L1233-4 C. trav.), y compris au sein du groupe et à l'étranger (avec accord du salarié)
SUB5 (1pt) : Explique que le PSE doit être soit négocié (accord majoritaire) soit établi par document unilatéral homologué/validé par la DREETS
SUB6 (1pt) : Analyse les conséquences de l'absence de CSE : obligation de mettre en place un CSE ou de dresser un PV de carence, risque de nullité de la procédure
SUB7 (1pt) : Mentionne la notification à la DREETS (ex-DIRECCTE) et le contrôle administratif
SUB8 (1pt) : Identifie les sanctions : nullité du licenciement, réintégration, indemnités (art. L1235-10 et L1235-11 C. trav.)

[Méthodologie]
M1 (1pt) : Propose un calendrier procédural réaliste
M2 (1pt) : Identifie les risques majeurs et propose des mesures de mitigation

[Négatif]
N1 (-1pt) : Erreur sur le seuil déclenchant l'obligation de PSE
N2 (-1pt) : Hallucination sur le périmètre d'appréciation du motif économique
N3 (-0.5pt) : Omission de l'obligation de reclassement"
6,Droit Privé,Travail,Recherche juridique,Rupture conventionnelle collective — Art. L1237-19 C. trav.,"Vous êtes avocat spécialisé en droit social au sein d'un cabinet d'affaires. Un DRH d'une entreprise de services numériques (800 salariés) vous consulte. L'entreprise souhaite réduire ses effectifs de 60 personnes sans procéder à des licenciements économiques. Le DRH envisage de recourir au dispositif de rupture conventionnelle collective (RCC) introduit par les ordonnances Macron de septembre 2017.

Rédigez une note complète présentant :
1. Le cadre juridique de la RCC (articles L1237-19 à L1237-19-14 du Code du travail)
2. Les conditions de mise en oeuvre (accord collectif majoritaire, contenu obligatoire)
3. La procédure de validation par la DREETS
4. Les droits des salariés volontaires (indemnité, allocations chômage, clause de non-reclassement)
5. Les avantages et limites par rapport au PSE
6. La jurisprudence récente et les positions de la DREETS",N/A,"[Structure]
S1 (1pt) : Note professionnelle avec plan clair distinguant cadre juridique, procédure, et analyse comparative
S2 (1pt) : Tableau comparatif RCC/PSE ou présentation synthétique des différences

[Style]
ST1 (1pt) : Rédaction juridique précise avec références aux articles du Code du travail
ST2 (1pt) : Ton adapté à un interlocuteur RH (pédagogique sans être simpliste)

[Substance]
SUB1 (2pts) : Explique que la RCC nécessite un accord collectif majoritaire (signé par des syndicats représentant plus de 50% des suffrages aux dernières élections)
SUB2 (2pts) : Précise que la RCC est fondée exclusivement sur le volontariat et exclut tout licenciement pour atteindre l'objectif de suppression de postes pendant la durée de l'accord
SUB3 (1pt) : Détaille le contenu obligatoire de l'accord : nombre maximal de départs, conditions d'éligibilité, modalités de calcul des indemnités (au moins égales à l'indemnité légale de licenciement), mesures de reclassement externe
SUB4 (1pt) : Mentionne la procédure de validation par la DREETS (délai de 15 jours, silence vaut acceptation)
SUB5 (1pt) : Précise que les salariés dont la rupture est acceptée bénéficient de l'assurance chômage (contrairement à la rupture conventionnelle individuelle avant 2023)
SUB6 (1pt) : Mentionne l'information obligatoire du CSE sur le projet d'accord
SUB7 (1pt) : Indique les avantages de la RCC : pas d'obligation de motif économique, pas de plan de reclassement interne, procédure plus rapide
SUB8 (1pt) : Identifie les limites : risque de requalification si le volontariat n'est pas réel, contrôle DREETS sur les mesures d'accompagnement

[Méthodologie]
M1 (1pt) : Propose un rétroplanning de mise en oeuvre réaliste

[Négatif]
N1 (-1pt) : Affirmer que la RCC ne nécessite pas d'accord collectif
N2 (-1pt) : Erreur sur les conditions d'accès à l'assurance chômage
N3 (-0.5pt) : Confusion entre RCC et plan de départs volontaires autonome"
7,Droit Privé,Propriété intellectuelle,Analyse de jurisprudence,Contrefaçon de marque — action civile,"Vous êtes avocat en propriété intellectuelle. Une société française de cosmétiques, titulaire d'une marque de l'UE et d'une marque française enregistrée depuis 8 ans, découvre qu'un concurrent commercialise en France des produits sous un signe quasi-identique pour des produits similaires. Le concurrent est une société de droit français. Les produits contrefaisants sont vendus en ligne et dans des boutiques physiques en France.

Rédigez une note d'analyse complète sur :
1. La caractérisation de la contrefaçon de marque (risque de confusion, identité/similarité des signes et des produits)
2. Les fondements de l'action civile en contrefaçon (CPI, art. L716-4 et suivants)
3. Les mesures provisoires et conservatoires disponibles (saisie-contrefaçon, référé)
4. L'évaluation et les modes de calcul des dommages et intérêts (art. L716-4-10 CPI)
5. La stratégie procédurale recommandée (juridiction compétente, articulation marque française / marque UE)",N/A,"[Structure]
S1 (1pt) : Note structurée avec analyse de la contrefaçon, arsenal procédural et stratégie recommandée
S2 (1pt) : Présentation chronologique de la stratégie (saisie-contrefaçon → référé → fond)

[Style]
ST1 (1pt) : Vocabulaire de propriété intellectuelle précis (risque de confusion, impression d'ensemble, saisie-contrefaçon)
ST2 (1pt) : Références au CPI et au RMUE citées correctement

[Substance]
SUB1 (2pts) : Analyse du risque de confusion selon les critères classiques : similarité des signes (visuelle, phonétique, conceptuelle) et similarité des produits/services, en tenant compte du caractère distinctif de la marque antérieure
SUB2 (1pt) : Mentionne la saisie-contrefaçon (art. L716-4-7 CPI) comme mesure probatoire préalable indispensable, réalisée sur autorisation du président du TJ
SUB3 (1pt) : Explique la possibilité de référé-interdiction (art. L716-4-6 CPI) pour obtenir des mesures provisoires rapides
SUB4 (2pts) : Détaille les trois modes de calcul des dommages et intérêts (art. L716-4-10 CPI) : conséquences économiques négatives, bénéfices réalisés par le contrefacteur, ou redevance hypothétique
SUB5 (1pt) : Mentionne la compétence exclusive du TJ (tribunaux judiciaires spécialisés en PI) pour la marque française
SUB6 (1pt) : Indique que pour la marque de l'UE, les tribunaux des marques de l'UE (TJ Paris) sont compétents en vertu du RMUE (Règlement 2017/1001)
SUB7 (1pt) : Évoque la prescription de l'action en contrefaçon (5 ans à compter de la connaissance des faits)

[Méthodologie]
M1 (1pt) : Recommande une stratégie séquentielle claire avec les étapes et délais estimés

[Négatif]
N1 (-1pt) : Erreur sur la juridiction compétente en matière de marques
N2 (-1pt) : Hallucination d'un article du CPI inexistant
N3 (-0.5pt) : Omission de la saisie-contrefaçon dans la stratégie"
8,Droit Privé,Bancaire & Financier,Risques & Conformité,Obligations de conformité AMF pour les PSI,"Vous êtes avocat en droit bancaire et financier. Un prestataire de services d'investissement (PSI) agréé par l'ACPR, qui exerce l'activité de gestion de portefeuille pour le compte de tiers et de conseil en investissement, vous consulte sur ses obligations de conformité au regard de la réglementation AMF. Le PSI gère environ 500 millions d'euros d'actifs pour une clientèle mixte (particuliers et institutionnels). Il souhaite lancer un nouveau service de gestion sous mandat intégrant des critères ESG.

Rédigez une note sur :
1. Les obligations de conformité générales du PSI (règlement général AMF, transposition MiFID II)
2. Les obligations spécifiques en matière de gouvernance produit et de classification des clients
3. Les exigences relatives à l'intégration des préférences ESG (règlement SFDR, taxonomie)
4. Le dispositif de contrôle interne requis (RCCI, RCSI, contrôle permanent et périodique)
5. Les sanctions en cas de manquement",N/A,"[Structure]
S1 (1pt) : Note organisée par thématiques réglementaires avec hiérarchie claire des obligations
S2 (1pt) : Distinction entre obligations permanentes et obligations spécifiques au lancement du nouveau service

[Style]
ST1 (1pt) : Vocabulaire réglementaire financier précis (best execution, suitability, target market)
ST2 (1pt) : Références au RGAMF, à MiFID II/MiFIR et aux règlements européens pertinents

[Substance]
SUB1 (2pts) : Détaille les obligations MiFID II transposées : test d'adéquation (suitability) pour la gestion sous mandat, meilleure exécution, gestion des conflits d'intérêts, transparence des coûts
SUB2 (1pt) : Explique les obligations de gouvernance produit (product governance) : définition du marché cible (target market), processus d'approbation des produits
SUB3 (1pt) : Mentionne la classification des clients (retail, professionnel, contrepartie éligible) et les conséquences sur le niveau de protection
SUB4 (2pts) : Détaille les obligations SFDR (Sustainable Finance Disclosure Regulation) : classification du produit (art. 6, 8 ou 9 SFDR), obligations de transparence pré-contractuelle et périodique
SUB5 (1pt) : Mentionne l'obligation d'intégrer les préférences en matière de durabilité dans le test d'adéquation (modification MiFID II par acte délégué 2021/1253)
SUB6 (1pt) : Décrit le dispositif de contrôle interne : RCCI (responsable de la conformité et du contrôle interne) obligatoire, plan de contrôle permanent et périodique
SUB7 (1pt) : Mentionne le pouvoir de sanction de l'AMF : commission des sanctions, sanctions pécuniaires jusqu'à 100 millions d'euros ou 10% du CA

[Méthodologie]
M1 (1pt) : Propose un plan d'action concret pour le lancement du service ESG

[Négatif]
N1 (-1pt) : Confusion entre les rôles de l'AMF et de l'ACPR
N2 (-1pt) : Erreur sur la classification SFDR des produits financiers
N3 (-0.5pt) : Omission des obligations de transparence ESG pré-contractuelles"
9,Contentieux,Commercial,Rédaction,Assignation en concurrence déloyale — moyens,"Vous êtes avocat plaidant en droit commercial. Votre client est une société française spécialisée dans la distribution de matériel de bureau haut de gamme (CA : 12 M euros). Un ancien directeur commercial de votre client a quitté l'entreprise il y a 6 mois sans clause de non-concurrence et a créé une société concurrente. Depuis, votre client constate :
- Le débauchage systématique de 4 commerciaux clés (sur 10)
- La reprise quasi-identique de son catalogue produits et de sa charte graphique commerciale
- Le démarchage ciblé de ses 15 plus gros clients avec des offres à prix cassés
- L'utilisation de fichiers clients qui auraient été copiés avant le départ

Rédigez les moyens de droit et de fait pour une assignation en concurrence déloyale et parasitisme devant le tribunal de commerce compétent.",N/A,"[Structure]
S1 (2pts) : Rédaction sous forme de moyens d'assignation avec structure professionnelle : visa des textes, exposé des faits, discussion juridique, demandes
S2 (1pt) : Distinction claire entre les faits constitutifs de concurrence déloyale et ceux relevant du parasitisme

[Style]
ST1 (1pt) : Style contentieux formel adapté à une assignation devant le tribunal de commerce
ST2 (1pt) : Formulations juridiques de conclusions (""Il sera démontré que..."", ""Au visa de l'article..."")

[Substance]
SUB1 (2pts) : Fonde l'action sur les articles 1240 et 1241 du Code civil (responsabilité délictuelle) — fondement de la concurrence déloyale en droit français
SUB2 (1pt) : Caractérise le débauchage massif et ciblé comme acte de concurrence déloyale (jurisprudence constante Cass. com.)
SUB3 (1pt) : Qualifie la reprise de la charte graphique et du catalogue comme acte de parasitisme (Cass. com., 26 janvier 1999) — captation de la valeur économique d'autrui
SUB4 (1pt) : Analyse le démarchage ciblé avec prix cassés comme acte de désorganisation commerciale
SUB5 (1pt) : Qualifie l'utilisation de fichiers clients copiés comme acte de concurrence déloyale (détournement de fichiers, violation du secret des affaires — loi du 30 juillet 2018)
SUB6 (1pt) : Mentionne que l'absence de clause de non-concurrence n'empêche pas l'action en concurrence déloyale (la liberté du commerce a des limites)
SUB7 (1pt) : Évalue le préjudice : perte de marge, coût de remplacement des salariés, atteinte à l'image, trouble commercial
SUB8 (1pt) : Demande de mesures provisoires ou d'expertise pour chiffrer le préjudice

[Méthodologie]
M1 (1pt) : Propose des mesures probatoires (constat d'huissier, expertise informatique) pour établir la copie des fichiers

[Négatif]
N1 (-1pt) : Fonder l'action sur un texte inapplicable (ex : article L442-1 C. com. sans relation commerciale établie)
N2 (-1pt) : Hallucination d'une jurisprudence inexistante
N3 (-0.5pt) : Omission de la distinction entre concurrence déloyale et parasitisme"
10,Contentieux,Administratif,Qualification juridique,Recevabilité du recours pour excès de pouvoir,"Vous êtes avocat en droit public. Une association de protection de l'environnement, agréée au titre de l'article L141-1 du Code de l'environnement, souhaite contester un arrêté préfectoral autorisant l'exploitation d'une installation classée pour la protection de l'environnement (ICPE) de type Seveso seuil haut, située à proximité d'une zone Natura 2000. L'arrêté a été notifié au pétitionnaire le 15 janvier 2025 et publié au recueil des actes administratifs le 20 janvier 2025.

L'association vous consulte le 15 mars 2025. Rédigez une note analysant les conditions de recevabilité d'un recours pour excès de pouvoir (REP) contre cet arrêté, en examinant :
1. La nature de l'acte attaqué et sa contestabilité
2. L'intérêt à agir de l'association
3. Les délais de recours applicables
4. Les moyens de légalité externe et interne invocables
5. La possibilité d'un référé-suspension concomitant",N/A,"[Structure]
S1 (1pt) : Note structurée distinguant recevabilité (conditions de l'action) et fond (moyens invocables)
S2 (1pt) : Analyse systématique des conditions de recevabilité dans l'ordre classique

[Style]
ST1 (1pt) : Vocabulaire de contentieux administratif précis (REP, légalité externe/interne, moyen d'ordre public)
ST2 (1pt) : Références au CJA et au Code de l'environnement

[Substance]
SUB1 (1pt) : Qualifie l'arrêté préfectoral d'autorisation ICPE comme un acte administratif individuel faisant grief, susceptible de REP
SUB2 (2pts) : Analyse l'intérêt à agir de l'association : agrément environnemental (art. L141-1 C. env.), objet statutaire en lien avec la décision, périmètre géographique de l'agrément couvrant la zone concernée
SUB3 (2pts) : Détermine le délai de recours : pour les tiers, le délai court à compter de la publication ou de l'affichage (et non de la notification réservée au pétitionnaire) — délai de 2 mois à compter de la publicité la plus tardive, en tenant compte du régime spécial des décisions ICPE (art. R514-3-1 C. env. : délai de 4 mois pour les tiers)
SUB4 (1pt) : Vérifie que le recours est encore recevable à la date de la consultation
SUB5 (1pt) : Identifie les moyens de légalité externe : incompétence, vice de procédure (enquête publique, avis de l'autorité environnementale, consultation du CODERST)
SUB6 (1pt) : Identifie les moyens de légalité interne : erreur de droit, erreur d'appréciation sur l'évaluation environnementale, violation du principe de précaution, atteinte aux sites Natura 2000
SUB7 (1pt) : Analyse la possibilité d'un référé-suspension (art. L521-1 CJA) : condition d'urgence et moyen sérieux

[Méthodologie]
M1 (1pt) : Recommande une stratégie contentieuse combinant REP au fond et référé-suspension

[Négatif]
N1 (-1pt) : Erreur sur le point de départ du délai de recours pour les tiers
N2 (-1pt) : Confusion entre REP et recours de plein contentieux
N3 (-0.5pt) : Omission du régime spécial ICPE pour les délais de recours des tiers"
